Department,Month,Revenue,Expenses,Profit/Loss,Budget Allocation,Forecasted Growth %,Risk Flag
R&D,Apr-24,11595938,3914992,7680946,8636544.565035725,-0.07,Low
Energy Production,Apr-24,3620404,7059505,-3439101,3223925.1189361,4.69,Low
,Jul-24,5955710,4036477,,6221291.984206171,14.63,Medium
R&D,Sep-24,8637428,2607074,6030354,7215614.287307523,,Low
Space Exploration,Apr-24,11220362,6990581,4229781,,-1.35,Low
Medical Research,Nov-24,6206754,7731549,-1524795,7284843.258008752,4.06,nil
Space Exploration,Jun-24,3817793,4825993,-1008200,2936973.008689764,11.38,High
Cybersecurity,Mar-24,4495800,4294223,-,4113632.555551504,-1.04,Low
Tech Innovation,Nov-24,5369089,5614430,nil,6380610.677052619,-0.73,Low
Medical Research,May-24,7059154,7871319,-812165,-,9.88,High
Defense Systems,Sep-24,3012299,4202692,-1190393,2293032.149553873,3.98,Low
R&D,Mar-24,9503553,4528844,4974709,9773820.899846554,14.23,
Defense Systems,Sep-24,11271919,9941113,1330806,nil,6.61,Low
Energy Production,Jul-24,11141071,2183432,8957639,10241877.03112815,1.21,High
Energy Production,Jan-24,9326862,,7075040,7231927.829443763,1.83,High
Administration,Oct-24,8883338,1691228,7192110,10179719.92984941,13.21,
Defense Systems,Apr-24,2639786,6365501,-3725715,1900664.564050507,-0.71,Low
Space Exploration,Apr-24,6070996,6844015,-773019,6722911.321808605,-2.44,Medium
Administration,Oct-24,9437917,7218164,2219753,7043197.249723901,13,Medium
Tech Innovation,Feb-24,10509265,10030832,478433,8387829.607111853,-4.64,High
-,Dec-24,6811368,9712688,-2901320,7508693.060597486,14.61,
Defense Systems,Nov-24,10368836,2472490,7896346,9235390.621806016,-0.69,Medium
R&D,Nov-24,,6835222,61974,7545272.677215383,6.4,Low
Space Exploration,Mar-24,8049539,5453972,2595567,7347411.24860436,-3.99,Low
Cybersecurity,Jan-24,2237114,2934824,-697710,1871693.333593034,7.88,Low
Tech Innovation,Jul-24,6172049,5106111,1065938,4352709.868209376,-3.99,High
Space Exploration,Nov-24,5252951,4578951,674000,5123251.478103663,-4.46,Low
Tech Innovation,Feb-24,7901895,5780395,2121500,6654830.014807167,1.75,Medium
Cybersecurity,Apr-24,,2837662,8073734,9254984.616009345,11.59,High
Space Exploration,Sep-24,10178963,8143987,2034976,11345321.3149079,6.21,Medium
R&D,Jan-24,-,2594973,8775570,8602382.9113932,11.36,Medium
Cybersecurity,Apr-24,6955660,8679457,-1723797,5113211.335974408,12.91,Medium
Tech Innovation,,8365563,10325157,-1959594,7274481.390830308,-0.37,Low
nil,May-24,3788161,9531391,-5743230,3654221.508366431,7.19,High
Energy Production,Jan-24,2532729,7858687,-5325958,2415548.280260409,13.09,High
Cybersecurity,Oct-24,2009725,5257120,nil,,-0.09,Medium
,Jan-24,8130435,2281090,5849345,9303138.062763708,12.91,High
Administration,Oct-24,9530138,7296223,2233915,10169609.18629652,-3.02,Low
Space Exploration,Aug-24,4479630,7728703,-3249073,3797831.445364428,-2.62,Low
Space Exploration,Mar-24,7908774,8908542,-999768,8807091.387909664,-0.7,High
Defense Systems,Jul-24,10758150,2212465,8545685,10043792.29915086,-0.33,Low
Tech Innovation,Oct-24,7125347,3420090,3705257,5811439.09222953,2.49,High
Medical Research,Mar-24,4672621,4710761,-38140,4541752.166306242,-4.31,High
Medical Research,Jul-24,5880900,2082520,3798380,5861311.657065655,12.29,High
Tech Innovation,May-24,8601251,9390044,-788793,9056050.565539278,-0.61,Medium
Space Exploration,Jul-24,4260809,4290609,-29800,4616155.936770698,9.23,nil
R&D,May-24,10182229,9707021,475208,7355250.826743529,2.8,High
Administration,Dec-24,2386896,1802759,584137,2540569.759751103,,Medium
Defense Systems,Mar-24,5797598,1941683,3855915,6501501.103198041,10.09,Medium
Defense Systems,Jan-24,7655922,7001935,653987,9020242.713931588,6.97,Medium
Energy Production,Jul-24,4492653,9389048,-4896395,4689927.164027364,-4.33,Medium
,,4273240,2019254,,3619525.296472708,5.53,High
R&D,Feb-24,3461737,3466554,-4817,4001472.352763731,14.98,Low
Energy Production,Oct-24,8823761,,-1023148,8697893.828791192,0.67,Medium
R&D,Mar-24,3575315,4401119,-825804,3364823.174994076,14.12,Low
nil,May-24,11700697,10621228,1079469,8515531.246330662,2.63,High
R&D,Jun-24,6720133,2834505,3885628,7443398.279402743,5.39,Medium
Administration,Feb-24,5133069,4679424,453645,5404876.222330072,9.82,Low
Tech Innovation,May-24,6196483,8824517,-2628034,4819834.560480549,14.23,Low
Medical Research,Mar-24,,7411430,1876355,8238851.79529568,10.28,Medium
Administration,Feb-24,6564220,8164217,-1599997,,0.99,Medium
Defense Systems,Aug-24,-,1784691,6112383,6844286.207078645,13.51,Medium
R&D,Jan-24,4058232,2695334,1362898,4122542.41183661,-0.15,Medium
R&D,May-24,8040620,3067630,4972990,6820031.746831639,,High
,Mar-24,4431443,1639796,2791647,4988973.713294218,-4.84,Low
,Dec-24,7350833,4848707,2502126,7422024.634286639,9.74,High
Tech Innovation,Jun-24,7543232,10742302,-3199070,7729180.358776385,-4.5,Low
R&D,Aug-24,10900457,8800779,2099678,12842875.56294311,-3.16,High
Cybersecurity,Nov-24,2868555,7178046,-4309491,2440347.315412439,9.69,-
Cybersecurity,May-24,11564898,,,11298811.32538502,-2.28,High
Tech Innovation,Jul-24,4034454,3771667,262787,4654171.700280714,-4.64,High
Space Exploration,Jun-24,2408697,9055552,-6646855,1998442.960177929,1.17,Medium
R&D,May-24,10099064,3506172,6592892,12103804.6627176,-,High
Administration,Jan-24,3295034,7170799,nil,2585563.105413852,4.88,High
,Dec-24,10547277,5820159,4727118,8160720.266458971,-3.86,High
Administration,Jan-24,9488386,9574734,-86348,8428407.30719507,3.92,Low
Medical Research,Apr-24,11158196,5113912,6044284,11339127.88993566,4.8,Low
Cybersecurity,Jan-24,4327504,3526512,800992,4687920.948345715,-3.24,Low
Tech Innovation,Sep-24,2313300,5896268,-3582968,2087834.640397415,1.61,Low
Energy Production,Aug-24,10585277,8110974,2474303,11602551.08163432,-2.67,Low
Defense Systems,Aug-24,11345714,3864840,7480874,,,Low
Tech Innovation,Aug-24,4963614,4971322,-7708,3797665.645566158,-2.39,Low
Cybersecurity,Jan-24,10106267,2692518,7413749,7473842.690657737,13.09,Low
Space Exploration,Apr-24,4188815,6714799,-2525984,4427029.430370416,11.94,High
Tech Innovation,Jul-24,3742279,4747315,-1005036,2759751.010719475,3.79,Low
-,Mar-24,7104769,2306186,4798583,6605898.074505822,1.24,Medium
nil,Jun-24,2879007,8527811,-5648804,2599685.11555755,-2.95,nil
Defense Systems,Nov-24,7491094,1996191,5494903,8933308.409545023,-,High
Medical Research,Nov-24,5327752,10952002,-5624250,4505512.519996173,14.71,Low
Administration,Jan-24,5175567,8754075,-3578508,5472088.154326739,11.73,Medium
Cybersecurity,Mar-24,nil,9366788,-3452475,4214652.952908452,13.54,Medium
Defense Systems,Jun-24,2938935,2389224,,3407404.557933414,-0.43,High
Space Exploration,Jan-24,11126412,6362077,4764335,8354724.486639774,6.18,High
Energy Production,Mar-24,11041587,8962249,2079338,9570362.276780218,8.39,High
Medical Research,Jul-24,11801346,8359791,3441555,8433980.195578823,-4.61,Medium
Tech Innovation,Sep-24,8483255,9528314,-1045059,9036105.047757355,-1.65,Medium
Tech Innovation,Mar-24,3029947,5220436,-2190489,,9.46,High
Cybersecurity,Feb-24,5531220,2134909,3396311,6330718.858515752,4.73,High
Energy Production,Apr-24,9455878,,6133122,8677021.57301857,0.46,High
Cybersecurity,Dec-24,2897260,8738942,-5841682,2419064.512237211,11.11,Medium
R&D,Mar-24,9400707,6570851,2829856,7742205.961774834,13.13,Low
,Apr-24,9321092,6446996,2874096,10032130.22207246,7.63,-
Cybersecurity,Dec-24,10629699,-,3376866,8624808.842758628,15,Medium
Defense Systems,Oct-24,7864143,1543161,6320982,6725304.130652986,0.1,Medium
-,Dec-24,7325672,8829690,-1504018,7905649.019001279,5.77,High
Medical Research,-,8133307,,822010,7976777.813751365,-4.59,Low
Administration,Jun-24,6990847,6975351,15496,7793176.686541743,13.05,Low
Energy Production,Aug-24,3014863,3694602,-679739,2692487.663118828,11.13,High
nil,Dec-24,5746171,6848924,-1102753,6145271.541092624,4.38,Medium
Administration,Feb-24,9083324,3174606,5908718,,14.63,High
Defense Systems,Mar-24,3027089,7106534,-4079445,3384432.090899349,11.35,Medium
Energy Production,Aug-24,3158400,6248342,-3089942,3666113.93792259,2.04,
Space Exploration,Jun-24,9561500,,6534980,7508835.168755797,0.83,
Administration,Oct-24,7270414,nil,4099267,7385113.263286456,3.35,Medium
Administration,Aug-24,7693132,4710304,2982828,,9.68,Medium
Administration,Mar-24,7111491,10123701,-3012210,6225958.912721703,1.98,Medium
Space Exploration,Jun-24,3140784,2371639,769145,2242677.811740751,nil,Medium
Tech Innovation,Jun-24,2664488,5207639,-2543151,2572317.91381803,6.23,High
Medical Research,Oct-24,11148163,6233514,4914649,8014184.110515153,-3.83,Low
Administration,Sep-24,9826413,6410639,3415774,8424015.1578248,14.08,Medium
Cybersecurity,Jul-24,11023360,5020853,6002507,13183340.34871876,-0.52,
,Mar-24,10885987,9416881,1469106,11366857.32444609,0.39,-
Medical Research,Jul-24,5777645,1998288,3779357,4131089.586705734,11.69,High
Defense Systems,,6804502,2492853,4311649,7976542.578809598,10.01,High
R&D,Dec-24,7283284,2176300,5106984,6531810.022924289,3.24,Low
Administration,Mar-24,11196520,9175038,2021482,13357357.28069734,-1.56,Low
R&D,Jul-24,11210855,2624168,8586687,9554556.920581903,12.72,High
Medical Research,Dec-24,2628358,8457741,-5829383,3084683.521707191,9.01,Medium
Energy Production,Jan-24,11495171,3792739,7702432,11128373.24449034,14.42,Medium
Energy Production,Feb-24,5640297,3266841,2373456,5623202.201621996,11.97,High
Medical Research,Apr-24,10759041,10123064,635977,12452338.89892794,9.28,Low
Energy Production,Aug-24,9320897,,1907392,9036936.063509166,7.01,High
Energy Production,Dec-24,9167856,4004855,5163001,9715570.817879865,13.36,High
Cybersecurity,Mar-24,11051857,6473139,4578718,12349337.76630538,12.43,High
,Jan-24,5615230,8753897,-3138667,4112652.697859622,13.27,High
Tech Innovation,Jan-24,,2905822,6003618,8370720.558008436,0.67,
Tech Innovation,Feb-24,10412681,7173066,3239615,,9.34,Medium
Space Exploration,,4497580,2139555,2358025,3662033.945626434,14.53,Medium
Administration,Nov-24,11751503,1605956,10145547,9996460.641957141,10.83,Medium
Tech Innovation,Oct-24,-,1942592,4516913,5263144.388439832,3.85,High
Tech Innovation,Jul-24,10743226,8266181,2477045,8623672.559814492,6.22,Low
Cybersecurity,Mar-24,2573406,9558759,-6985353,2335961.677578337,6.77,
Cybersecurity,Jun-24,6618668,2933424,3685244,6378370.738903961,2.92,High
,Apr-24,4695281,,-769970,5608679.383603044,14.77,Low
Space Exploration,Mar-24,nil,8210174,2612431,10412397.1963331,9.55,Low
Medical Research,Mar-24,11595275,6494597,5100678,8320495.881839776,10.81,Medium
Cybersecurity,May-24,6267790,4633426,1634364,6059578.531013062,13.26,Medium
Cybersecurity,Aug-24,7264044,,-1028396,6953633.375719724,1.67,Low
Cybersecurity,Jan-24,9404116,1840557,,10681271.23045213,14.39,-
Cybersecurity,Apr-24,11468979,-,7623507,8209933.561293534,5.01,Low
Medical Research,Aug-24,nil,2242336,1134992,3738359.369294067,-0.55,Medium
nil,Nov-24,6709641,7251190,-541549,7660081.581687896,3.26,Low
Medical Research,-,2685167,1585713,1099454,1942408.893518639,7.38,High
Administration,Apr-24,11990072,1517380,10472692,8570358.942556283,-1.77,Medium
Cybersecurity,Jun-24,9473705,7819182,1654523,7190639.81461641,13.7,Low
Energy Production,Apr-24,2813902,7197530,-4383628,2278050.061186205,3.2,
Cybersecurity,Mar-24,7180407,10062771,-2882364,5919986.616547485,2.55,Low
Defense Systems,Apr-24,3448108,2053496,1394612,3016097.753979804,-0.78,
Administration,May-24,8875139,4508470,4366669,10072631.72317547,10.58,Medium
Space Exploration,Aug-24,2643578,4744560,-2100982,2205937.429419023,,Medium
Administration,Oct-24,10358070,4112899,6245171,nil,13.53,Medium
Tech Innovation,Jul-24,4068134,6892480,-2824346,4435010.823524964,-2.88,
Defense Systems,Jun-24,6672772,1871208,4801564,4771724.056339559,11.48,Medium
Energy Production,May-24,3421629,9034412,-5612783,3402914.616474145,6.91,
R&D,Jan-24,2837478,9314428,-6476950,,1.15,Medium
Administration,Sep-24,6412137,10831777,-4419640,,7.99,Medium
Defense Systems,Dec-24,9155280,9959348,-804068,10216134.35670929,-3.26,Low
Medical Research,Aug-24,6524861,6128518,396343,6265586.928077104,6.29,Low
Tech Innovation,Feb-24,3547096,4925980,-1378884,4076145.139234716,14.72,High
Medical Research,Mar-24,8334851,9506431,-1171580,6225798.981405035,4.3,
Medical Research,Oct-24,11775257,5939183,5836074,10842099.35689708,2.93,Medium
Cybersecurity,May-24,,5475454,6287993,11402142.97195516,5.08,Medium
Administration,Aug-24,6582004,4690833,1891171,4612926.137748579,1.25,High
Space Exploration,Nov-24,4596331,3063356,1532975,3609633.209278459,-4.13,Low
Medical Research,Mar-24,11197745,6017144,5180601,12298673.55053044,-4.05,Medium
Space Exploration,Mar-24,2319298,6763689,-4444391,1763054.775431589,3.06,High
Defense Systems,Jun-24,10571643,10828011,-256368,12533912.60898945,9.06,Low
Administration,Sep-24,4483305,10477999,-5994694,4677583.299165683,4.69,Low
R&D,Mar-24,7343703,6303052,1040651,6605843.215589162,1.24,Low
Defense Systems,Sep-24,6644390,2043167,4601223,7215349.381195603,10.64,Medium
Space Exploration,Sep-24,6620199,1684884,4935315,7145029.73766724,6.3,High
Tech Innovation,Jul-24,2967078,7047759,-4080681,2998583.145234497,0.26,Low
Energy Production,Jan-24,9104486,3518668,5585818,10321743.48954373,7.82,Medium
Administration,Jun-24,11030084,3659578,7370506,8527446.634891989,-3.62,Medium
Medical Research,Jan-24,8589654,2059865,6529789,9078113.540192831,-1.25,High
Cybersecurity,Jan-24,2231448,3134843,-903395,2043375.26027731,10.16,High
Tech Innovation,Jun-24,8239333,5288810,2950523,7046694.989157618,-3.56,Medium
Defense Systems,Jul-24,9427574,,-,9248058.116443885,3.02,Low
Energy Production,Dec-24,10302650,9368416,934234,7890680.573017055,-2.14,-
Energy Production,May-24,4574869,3817119,757750,5215885.493160111,5.09,Medium
Administration,Sep-24,9444768,5995413,3449355,7301190.988523473,8.54,High
Defense Systems,Apr-24,7135790,10055784,-,5243202.965611036,10.22,Medium
Tech Innovation,Feb-24,8476223,9671987,-1195764,6329540.799253408,8.06,Low
R&D,Oct-24,3198310,3408543,-210233,2558237.71493557,13.37,Low
Medical Research,Feb-24,8578818,9030916,-452098,6437573.31700182,-4.75,Low
Tech Innovation,May-24,11771614,5439046,,12578706.91326336,2.09,Medium
R&D,Jul-24,6212954,4822332,1390622,4990891.746513559,3.6,High
Cybersecurity,,3437688,3624598,-186910,2469545.229342544,-2.31,High
Energy Production,Mar-24,9296544,8660469,636075,8203502.792280163,0.85,Medium
Administration,Apr-24,nil,,-5617612,2459646.467333582,9.91,Low
Defense Systems,Aug-24,2772075,8369019,-5596944,2857426.609095052,-1.41,Medium
Medical Research,Dec-24,6939121,4170811,2768310,7893587.381063997,13.88,High
Space Exploration,Nov-24,11925059,7249376,4675683,8591974.49768455,12.38,Medium
Cybersecurity,Mar-24,2151337,-,-6155432,2333792.756701643,4.7,Low
Medical Research,Feb-24,3554502,3597869,-43367,nil,0.14,Medium
Energy Production,Apr-24,8538576,4529449,4009127,7921437.607684157,2.78,Low
Administration,Nov-24,9655956,7183221,2472735,9786681.8984457,3.02,Low
Energy Production,Oct-24,4177871,9195279,-5017408,3734006.419808265,-4.04,High
Space Exploration,Jan-24,8047999,8938156,,5861158.678504718,-3.97,Low
Medical Research,Jan-24,8636670,4108051,4528619,9583254.584816083,13.74,Medium
Space Exploration,May-24,8751796,1682897,7068899,10435491.30014861,-4.11,Low
Energy Production,-,5613280,5635718,-22438,4784173.142778061,-1.32,Medium
Defense Systems,,4853111,1610770,3242341,,1.05,Medium
Administration,Nov-24,5125922,3059030,2066892,6077992.118721688,6.27,High
Tech Innovation,Mar-24,6698049,9307091,-2609042,6611451.483162783,14.75,
Energy Production,Apr-24,3358466,8990861,-5632395,2840380.396330191,5.35,Low
R&D,May-24,2451138,1531830,919308,2586715.928748732,-4.75,Medium
Energy Production,Feb-24,10910209,2241926,8668283,9528273.234328886,1.16,Low
Energy Production,Aug-24,11262243,10808605,453638,10509179.45785684,-4.65,High
Medical Research,,11163049,6373886,4789163,8933542.837258155,-,Medium
R&D,Jan-24,6505567,5615034,890533,5371440.324995842,5.48,High
Administration,,8733726,8721351,12375,6794770.843372285,1.99,Low
Energy Production,Apr-24,7123452,-,-1579068,5550671.685292821,9.73,High
,-,4371078,6107936,-1736858,4640707.793434092,12.24,Medium
Space Exploration,Feb-24,11843173,4550847,7292326,11314790.33906101,12.57,High
Cybersecurity,Dec-24,9980553,5772234,4208319,-,-4.51,Low
Administration,Oct-24,2149545,5273122,-3123577,2336665.829855004,,High
Administration,Sep-24,9287085,8649260,637825,7514404.614006597,1.24,Low
Energy Production,Aug-24,9714418,,3141811,8027072.473595818,0,
R&D,Jul-24,7857610,4382320,3475290,8797491.968234332,-4.96,Low
Defense Systems,Mar-24,4363273,10758080,-6394807,4787252.400203317,-4.79,Medium
Tech Innovation,Mar-24,7168019,4709126,2458893,8471033.635718381,12.5,Medium
Defense Systems,Aug-24,6805624,5625008,1180616,7764932.493705443,-4,High
Defense Systems,Mar-24,4767696,8143880,-3376184,5301956.942212304,9.76,Low
Administration,Jul-24,11121128,6462196,4658932,11749506.61880357,12.08,High
Administration,Dec-24,6434896,1814776,4620120,6502766.768393036,10.36,Low
Medical Research,Dec-24,7448949,2703142,4745807,-,,Low
Administration,Jul-24,2684007,9590172,-6906165,2682802.578518632,-4.66,Low
Medical Research,Apr-24,11740226,2404513,,14035090.11341586,7.18,Medium
Tech Innovation,Sep-24,10963862,9054553,1909309,9650988.020078497,11.81,Medium
Administration,Aug-24,2323726,8268809,-5945083,1951274.238210318,4.55,Medium
Energy Production,Nov-24,9072720,2889191,6183529,,4.64,Low
Energy Production,May-24,3290970,7780946,-4489976,3779587.452824954,9.74,High
,Nov-24,3143138,5420126,-2276988,2853640.176219004,2.09,High
Medical Research,Mar-24,9444715,3409050,6035665,7006191.784160405,7.58,High
Defense Systems,May-24,5425747,6871980,-1446233,6056237.816022845,,
R&D,Jul-24,3446184,nil,-139529,4065190.727648216,13.04,
Energy Production,Jul-24,7996222,1704961,,6948336.012039391,13.83,High
Cybersecurity,Jan-24,4055468,8762773,-4707305,4163093.602368756,13.87,Low
Defense Systems,Oct-24,9113293,5043624,4069669,9444919.681598973,3.28,Medium
Defense Systems,Jun-24,,6656963,-3115893,3267433.386911593,-0.16,Medium
Medical Research,May-24,2149789,6291663,-4141874,2499831.381425177,-0.86,Low
Defense Systems,Nov-24,4218994,4482402,-263408,4059918.433130674,-0.22,High
Tech Innovation,Dec-24,11595469,7269010,4326459,10012999.59825323,8.92,Low
Energy Production,,-,9510212,-787310,6194541.319825681,7.9,High
Cybersecurity,Feb-24,3432738,8531689,-5098951,3189721.385340917,8.29,Low
Space Exploration,Nov-24,5759652,3071621,nil,4579684.935183727,12.8,High
Space Exploration,Jul-24,11460788,7390023,4070765,11525875.26459686,5.3,High
-,Nov-24,3076562,4095408,,3626487.052831431,8.26,High
Energy Production,Feb-24,7539219,7567889,-28670,8525365.44702399,3.8,High
Space Exploration,Apr-24,5456227,4241534,1214693,4493109.552617882,2.58,High
nil,Jan-24,3341027,8051013,-4709986,3552208.275765067,12.44,Low
R&D,Mar-24,11395811,5247426,6148385,8385256.023530444,3.4,Medium
Energy Production,Nov-24,7968653,4564594,3404059,8003951.128712121,-2.8,Medium
,Dec-24,10820803,10384057,436746,8423431.726204896,3.6,Low
nil,Jul-24,5798692,9652532,-,6723311.909197298,4.85,High
Space Exploration,-,6755407,10843547,-4088140,6095571.625341562,12.19,High
Administration,Jun-24,,6761930,-2258389,3656989.511344157,5.91,Low
